hscode,hsdesc,export_usd_mn,import_usd_mn,net_usd_mn,share_of_total_deficit_pct
8512,ELECRCL LIGTNG/SIGNALLING EQPMNT          (EXCL ARTCLS OF HD NO.8539)WIND SCRN ETC  USED FOR CYCLES/MOTOR VEHICLES,300.25,539.02,-238.77,0.042
6815,ARTCLS OF STON/OF OTHR MNRL SUBSTNCS(INCL CRBN FIBR ARTCLS OF CRBN FIBR AND PEAT)N.E.S,133.61,371.59,-237.98,0.042
8209,"PLTES STIKS TIPS AND LIKE FOR TLS,UNMOUNTD  OF CERMETS",107.59,344.17,-236.58,0.041
8547,INSLTNG FTTNGS FR ELCTRCL MCHNS ETC.      ELECTRCL CONDUIT TUBING AND JOINTS THEROF   OFBSE MTL LINED WTH INSLTNG MATRL,71.57,307.95,-236.38,0.041
5101,WOOL NOT CARDED OR COMBED,0.67,230.65,-229.98,0.040
7005,FLOT AND SRFC GRND/POLSH GLS TN SHTS WH/NT  HAVNG AN ABSRBNT REFLCTNG/NON,74.43,299.38,-224.95,0.039
8483,TRNSMSN SHFTS AND CRNKS;GEARS;BALL SCREWS;  BEARING HOUSING ANDOTHR PLAIN SHFT BEARINGS SPD CHNGRS INCL TORQUE CNVRTRSFF,2242.11,2466.98,-224.87,0.039
6804,"MLSTN ETC WTHT FRMWRKS FR GRNDNG ETC,HND",69.00,290.40,-221.40,0.039
2524,ASBESTOS,0.17,218.68,-218.51,0.038
2309,PREPARATIONS OF A KIND USED IN ANIMAL     FEEDING,494.90,712.17,-217.28,0.038
8531,ELCTRC SOUND/VISUAL SIGNLLNG APPRTS(E.G.  BELLS SIRENS ETC.)OTHR THN THOSE OF       HDG NO.8512/8530,82.16,292.80,-210.64,0.037
2825,"HYDRAZINE AND HYDROXYLAMINE AND THEIR     INORGANIC SALTS; OTHER INORGANIC BASES;   OTHER METAL OXIDES, HYDROXIDES AND P",141.06,351.69,-210.63,0.037
4811,"PAPR PAPRBORD CELULOSE WADING AND WEBS OF CELULOSE FIBRS COATD IMPRGNTD ETC OTHR THNHDNG 4803,4809,4810",306.47,517.07,-210.60,0.037
2616,PRECIOUS METAL ORES AND CONCENTRATES,1.66,212.18,-210.52,0.037
4004,"WASTE, PARINGS AND SCRAP OF RUBBER (OTHER THAN HARD RUBBER) AND POWDERS AND GRANULES OBTAINED THEREFROM",5.36,214.40,-209.04,0.037
3208,"PAINT VARNSHS (INCL ENML AND LACQR) BSD ON  SYNTIC PLYMR/CHMLY MDFD NATRL PLYMR,DSPRS OR DSLVD NON ACEUS MDUM SLTN IN VO",105.99,314.64,-208.64,0.037
1301,"LAC;NATURL GUMS,RESNS,GUM",104.66,311.56,-206.90,0.036
5301,"FLUX,RAW OR PRCSSD BUT NT SPUN;FLAX TOW AND WAST(INCL YARN WAST AND GARNTTD STOCK)",14.10,218.43,-204.33,0.036
9002,"PRISMS,MIRRORS AND OTHR OPTCL ELMNTS,UNMNTD BEING PRTS OR FTTNGS FOR INSTRMNTS/APPRTS OTHR THN SUCH ELMNTS OF GLS,NT OPT",32.95,232.36,-199.41,0.035
2520,GYPSUM ANHYDRITE PLASTERS (WTH CAL GYPSUM OR CAL SLPHT)W/N CLRD WTH/WTHOUT SMALL    QUANTITIES OF ACCELERATORS/RETARDERS,7.34,206.72,-199.39,0.035
8430,"OTHR MOVNG,GRDNG,LEVLNG,SCRPNG,EXCVTNG,   TMPNG,CMPCTNG,EXTRCTNG/BORNG MCHNRY,FR    EARTH,MNRLS/ORES;PILE",286.80,485.74,-198.95,0.035
8202,HND SAWS;BLDES FOR SAWS OF ALL KINDS      (INCLD SLITNG SLOTNG OR TOTHLES SAW BLADES,17.40,213.13,-195.73,0.034
8459,MCHN,22.48,214.80,-192.32,0.034
3304,PRPNS FOR BEAUTY/MAKE UP FOR CARE OF SKN  (EXCPTNG MEDICAMNTS) INCLDG SUN SCREEN OR SUN TAN PEDICURE/MANICURE,295.69,483.51,-187.82,0.033
8401,"NUCLEAR REACTRS;FUEL ELMNTS (CARTRIDGES), NON",0.91,184.42,-183.51,0.032
7226,FLT,13.18,195.76,-182.57,0.032
2519,NATRL MAG CARB(MAGNESITE) FUSED           MAGNESIA DEAD,7.05,189.63,-182.57,0.032
2807,SULPHURIC ACID; OLEUM,69.98,249.83,-179.84,0.032
2202,"WTRS,INCL MNRL WTRS,ARTD WTRS,CNTNG ADDED SUGAR/SWTNG MTR/FLVRD,OTHR NON ALCHLC BVRG NT INCL FRUIT,NUT/VEG JUICE OF 2009",86.70,266.43,-179.73,0.031
8464,MCHN,9.94,188.65,-178.71,0.031
8514,INDSTRL/LABORATORY ELCTRC(INCL INDUCTN/   DIELCTRC)FURNACES ETC;OTHR INDSTRL/       LABORATORY INDUCTN/DIELCTRC HTNG EQP,132.86,311.50,-178.65,0.031
7228,"OTHR BARS,RODS,ANGLS,SHPS,SCTNS OF OTHR   ALLOY STL,HOLLOW DRILL BARS AND RODS OF     ALLOY OR NON",130.82,306.84,-176.03,0.031
6005,"WARP KNIT FABRICS (INCLUDING THOSE MADE ON GALLOON KNITTING MACHINES), OTHER THAN   THOSE OF HEADINGS 6001 TO 6004",24.95,200.21,-175.27,0.031
4804,UNCOTD KRFT PAPR AND PAPRBORD IN ROLS OR  SHEETS OTHR THAN HEDNG NO. 4802/4803,115.62,290.76,-175.14,0.031
9506,"ARTCLS AND EQPMNT FR GYMNSTCS,ATHLTCS,OTHR  SPORTS(INCL TABLETENNIS)/OUTDOOR GAMES,   N.E.S.;SWIMMING POOLS AND PADDLING",201.87,373.11,-171.25,0.030
3214,"GLAZIERS PUTTY, GRFTNG PUTTY RESIN CEMENTSMASTICS PNTRS FILLINGS ETC NON",29.66,199.80,-170.15,0.030
8461,MCHN,19.25,189.21,-169.97,0.030
3911,"PETROLEUM RESINS, COUMARONE",89.31,258.36,-169.05,0.030
3805,GUM,21.49,188.67,-167.18,0.029
0907,"CLOVES (WHOLE FRUIT, CLOVES AND STEMS)    CLOVES (WHOLE FRUIT, CLOVES AND STEMS):",14.76,181.79,-167.03,0.029
7208,FLAT,1564.86,1730.85,-165.98,0.029
8463,OTHER MACHINE,21.29,185.88,-164.59,0.029
7505,"NICKEL BARS, RODS, PROFILES AND WIRE",61.30,223.50,-162.20,0.028
3812,PRPD RUBR ACCLRTRS,190.45,351.10,-160.66,0.028
2910,"EPOXIDES, EPOXYALCOHOLS, EPOXYPHENOLS AND EXPOXYETHERS, WITH A THREE",30.85,190.60,-159.75,0.028
3207,"PRPRD PGMNTS OPACIFIR COLRS VTRIFIBL ENML AND GLAZ ENGOBS LQD LUSTR AND SMLR PRPN USD   INCRMIC.ENMLG/GLS INDSTY,FRIT IN",46.04,205.19,-159.15,0.028
8439,MCHNRY FR MKNG PULP OF FIBROUS CELLULOSIC MTRL/FR MKNG/FNSHNG PAPER/PAPERBOARD,64.75,222.84,-158.09,0.028
3701,"PHOT PLTS AND FLM IN FLT,SENSTSD,UNEXPSD,   OF ANY MTRL OTHR THN PAPR,PAPRBRD/TXTL;   INSTANT PRNT FLM,FLT SNSTSD,UNEXPS",17.29,174.44,-157.16,0.028
2615,"NIOBIUM, TANTALUM, VANADIUM OR ZIRCONIUM  ORES AND CONCENTRATES",0.00,156.54,-156.54,0.027
8108,"TITANIUM AND ARTICLES THEREOF, INCLUDING  WASTE AND SCRAP",12.93,168.33,-155.40,0.027
1520,"GLYCEROL, CRUDE; GLYCEROL WATERS AND      GLYCEROL LYES",2.96,154.54,-151.58,0.027
7002,"GLASS IN BALLS (OTHER THAN MICROSPHERES OF HEADING 7018), RODS OR TUBES, UNWORKED",23.20,174.74,-151.54,0.027
8445,"MCHNS FR PRPRNG TXTL FBRS;SPNG,TWSTNG ETC MCHNRY FR PRDCNG TXTL YRNS;MCHNS FR PRPRNGTXTL YRNS FR USE ON MCHNS OF 8446/84",136.59,286.92,-150.33,0.026
9405,LUMINAIRES AND LIGHTING FTTNGS INCL SEARCH LIGHT AND SPOTLIGHT ETC N.E.S.ILLUMINATD SIGN AND THE LIKE WTH PRMNANT LGHT SORC,315.56,465.36,-149.80,0.026
5002,RAW SILK (NOT THROWN),0.25,147.05,-146.80,0.026
6805,NATRL/ARTFCL ABRSV PWDR ETC OF TXTL MATRLSOF PAPR/PAPERBOARD W/N CUT TO SHAPE ETC,8.45,153.00,-144.55,0.025
5902,"TYRE CORD FABRIC OF HIGH TENACITY YARN OF NYLON OR OTHER POLYAMIDES, POLYESTERS OR  VISCOSE RAYON",44.77,189.27,-144.50,0.025
9003,"FRAMES AND MOUNTINGS FOR SPECTACLES,      GOGGLES OR THE LIKE, AND PARTS THEREOF",3.88,146.88,-142.99,0.025
4805,"OTHER UNCOATED PAPER AND PAPERBOARD, IN   ROLLS OR SHEETS, NOT FURTHER WORKED OR    PROCESSED THAN AS SPECIFIED",113.89,255.72,-141.82,0.025
2835,"PHOSPHINATES (HYPOPHOSPHITES),            PHOSPHONATES (PHOSPHITES) AND PHOSPHATES; POLYPHOSPHATES, WHETHER OR NOT CHEMI",41.87,182.52,-140.65,0.025
6902,"REFRACTORY BRICKS, BLOCKS, TILES AND      SIMILAR REFRACTORY CERAMIC CONSTRUCTIONAL GOODS, OTHER THAN THOSE OF SILICEOUS",194.58,333.90,-139.32,0.024
3404,ARTIFICIAL WAXES AND PREPARED WAXES,88.54,227.34,-138.80,0.024
8805,AIRCRAFT LAUNCHING GEAR; DECK,25.36,163.71,-138.35,0.024
3821,PRPD CULTR MEDIA FR MICRO,31.30,169.60,-138.30,0.024
7115,OTHER ARTICLES OF PRECIOUS METAL OR OF,2.99,140.92,-137.92,0.024
8444,"MCHNS FR EXTRUDING,DRAWING,TEXTURING OR   CUTTING MAN",17.18,154.51,-137.33,0.024
2518,"DOLOMITE,W/N CALCIND/SINTERD,INCL DOLOMITE RGHLY TRMED/MERLY CUT BY SAWNG/OTRWS INTO BLCKS/SLBS OF RECTAN INCL SQR SHAP",2.50,138.22,-135.72,0.024
4104,TANED/CRUST HIDE AND SKIN OF BVNE(INCLDING  BUFFALO) OR EQUINE ANIMAL WITHOUT HAIR WONSPLT BUT NT FURTHER PREPARED,2.60,136.95,-134.35,0.024
1201,"SOYA BEANS, WHETHER OR NOT BROKEN",12.49,143.62,-131.13,0.023
3921,"OTHER PLATES, SHEETS, FILM, FOIL AND      STRIP, OF PLASTICS",411.77,541.19,-129.42,0.023
7506,"NICKEL PLATES, SHEETS, STRIP AND FOIL",9.31,137.57,-128.26,0.022
7312,"STRANDED WIRE, ROPES, CABLES, PLAITED     BANDS, SLINGS AND THE LIKE, OF IRON OR    STEEL, NOT ELECTRICALLY",179.06,306.74,-127.67,0.022
8465,MCHN,51.75,179.18,-127.42,0.022
8470,CALCULTNG AND POCKT,5.17,131.63,-126.46,0.022
2620,ASH AND RESIDUES EXCL FROM MNFR OF IRON OR  STEEL CONTNG ARSENIC MTLS/MTLIC COMPOUNDS,20.36,146.62,-126.27,0.022
9015,"SURVEYING,HYDROGRAPHIC,OCEANOGRAPHIC,     HYDROLOGICAL,METEOROLOGICAL/GEOPHYSICAL   INSTRMNTS AND APPLNCS,EXCL COMPSS;RN",73.92,199.61,-125.69,0.022
8539,"ELECTRIC FILAMENT OR DISCHARGE LAMPS,     INCLUDING SEALED BEAM LAMP UNITS AND      ULTRA",51.77,176.43,-124.66,0.022
3507,ENZYMES; PREPARED ENZYMES NOT ELSEWHERE   SPECIFIED OR INCLUDED,108.65,233.09,-124.44,0.022
8437,"MCHN FR CLNG,SRTNG SEED,GRAIN/LGMNS VGTBL;MCHNRY FOR MLNG INDSTRY/FR WRKNG OF CRL/  DRIED LGMNS VEGTBLS,EXCL FARM",87.77,207.58,-119.81,0.021
8308,"CLASPS, FRAMES WITH CLASPS, BUCKLES, BUCKLE",22.25,141.51,-119.26,0.021
8508,VACUUM CLEANERS,6.40,124.27,-117.87,0.021
1801,"COCOA BEANS, WHOLE OR BROKEN, RAW OR      ROASTED",2.33,117.99,-115.66,0.020
4016,OTHER ARTICLES OF VULCANISED RUBBER OTHER THAN HARD RUBBER,719.96,833.84,-113.87,0.020
7018,"GLS BEADS,IMTN PRLSANDPRCS STNS,SMLR ARTCLS EXCL IMTN JWLRY;GLS EYES;STATUETTSANDOTHR   SMLR GLS;GLS MICROSCOPES WTH DIA",33.17,146.68,-113.51,0.020
9101,WRIST,10.31,123.47,-113.16,0.020
8427,FORK,142.99,255.67,-112.68,0.020
2840,BORATES; PEROXOBORATES (PERBORATES),8.51,120.95,-112.44,0.020
3916,MNFILMNT OF WHICH ANY CROSS,44.11,152.80,-108.69,0.019
4806,VEG PRCHMNT GRESEPROOF PAPRS TRACNG PAPRS AND GLASINE AND OTHR GLAZD TRANSPERNT OR    TRANSLUCNT PAPR IN RELS/SHEETS,10.71,119.12,-108.41,0.019
8707,"BODIES (INCLUDING CABS), FOR THE MOTOR    VEHICLES OF HEADINGS 8701 TO 8705",54.76,162.71,-107.95,0.019
8506,PRIMARY CELLS AND PRIMARY BATTERIES,14.49,122.42,-107.93,0.019
2522,"QUICKLIME, SLAKED LIME AND HYDRAULIC LIME, OTHER THAN CALCIUM OXIDE AND HYDROXIDE OF HEADING 2825",5.26,112.47,-107.21,0.019
8111,"MANGANESE AND ARTICLES THEREOF, INCLUDING WASTE AND SCRAP",6.75,112.14,-105.40,0.018
0906,CINNAMON AND CINNAMON,16.51,121.77,-105.26,0.018
2523,PORTLAND CEMENT ALMNOUS CEMENT(CEMENT    FONDU)SLAG CEMENT ETC AND SMLR HYDRLC      CEMENTS W/N CLRD/IN THE FO,43.01,147.83,-104.82,0.018
8302,"BASE METAL MOUNTINGS, FITTINGS AND SIMILAR ARTICLES SUITABLE FOR FURNITURE, DOORS,  STAIRCASES, WINDOWS, BLINDS, COACHWO",453.47,555.68,-102.21,0.018
3810,"PICKLING PREPARATIONS FOR METAL SURFACES; FLUXES AND OTHER AUXILIARY PREPARATIONS   FOR SOLDERING, BRAZING OR WELDING; S",20.15,122.33,-102.18,0.018
1513,"COCONUT (COPRA), PALM KERNEL OR BABASSU   OIL AND FRACTIONS THEREOF, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED",85.83,187.31,-101.48,0.018
7210,FLT,822.32,923.57,-101.25,0.018
2932,HTRCYCLC CMPNDS WTH OXYGN HTR,436.65,535.28,-98.64,0.017
2529,FELSPAR LEUCITE NEPHELINE AND NEPHELINE     SYENITE FLUORSPAR,72.73,170.60,-97.88,0.017
5502,ARTIFICIAL FILAMENT TOW,0.01,97.24,-97.23,0.017
2922,OXYGEN,707.88,804.70,-96.82,0.017
3913,NATRL AND MODFD NATRL POLYMERS (E.G.HRDND   PROTEINS CHMCLS DRVTVS OF NATRL RUBR) NES.,10.52,103.82,-93.30,0.016
8104,"MAGNESIUM AND ARTICLES THEREOF, INCLUDING WASTE AND SCRAP",10.10,101.96,-91.86,0.016
8453,"MCHNRY FR PREPARING,TANG/WRKNG HIDES,     SKINS/LTHR/FR MKNG/REPAIRNG FOOTWEAR/OTHR ARTCLS OF HIDES,SKINS ETC EXCL SEWNG",1.43,93.15,-91.72,0.016
3806,"ROSIN AND RESIN ACIDS, AND DERIVATIVES    THEREOF; ROSIN SPIRIT AND ROSIN OILS; RUN GUMS",7.84,99.55,-91.71,0.016
9024,"MCHNES AND APLNCS FR TSTNG THE HRDNSS,      STRNGTH,ELSTCTY,COMPRSSBLTY ETC OF MATRLS",34.87,126.29,-91.42,0.016
9033,"PRTS AND ACCESSORIES FR MACHINES,APPLIANCES,INSTRUMENTS/APPARATUS OF CHAPTER 90,NES",98.25,189.04,-90.78,0.016
2937,"HORMONES, PROSTAGLANDINS, THROMBOXANES AND LEUKOTRIENES, NATURAL OR REPRODUCED BY   SYNTHESIS; DERIVATIVES AND STRCTRAL",328.97,418.97,-90.00,0.016
7320,"SPRINGS AND LEAVES FOR SPRINGS, OF IRON OR STEEL",97.31,186.11,-88.80,0.016
3922,"BATHS, SHOWER",18.94,106.71,-87.77,0.015
7407,"COPPER BARS, RODS AND PROFILES",85.45,172.51,-87.06,0.015
2842,"OTHER SALTS OF INORGANIC ACIDS   OR       PEROXOACIDS,EXCLUDING AZIDES",19.38,105.97,-86.59,0.015
9004,"SPECTACLES, GOGGLES AND THE LIKE,         CORRECTIVE, PROTECTIVE OR OTHER",34.31,120.65,-86.34,0.015
9011,"CMPND OPTCL MICROSCOPES,INCL THOSE FR     MCROPHOTOGRPHY,MCROCENMTGRPHY/MICROPRJCTN",17.04,101.41,-84.37,0.015
2610,CHROMIUM ORES AND CONCENTRATES,1.05,85.40,-84.35,0.015
8112,"Be, Cr, Hf, Re, TI, Cd, Ge, V, Ga, In AND Nb (Nb)ARTICLES OF THESE METALS, INCLUDING WASTE AND SCRAP",5.11,87.68,-82.58,0.014
2849,"CARBIDES, WHETHER OR NOT CHEMICALLY       DEFINED",17.75,100.31,-82.55,0.014
8301,"PDLCKS LOCKS(KEY ETC) OF BASE MTL;CLSPS AND FRMS WTH CLSPS,INCRPRTNG LCKS,OF BASE     MTL;KEYS FOR FRGNG ARTCLS OF BASE",130.54,213.08,-82.55,0.014
2617,OTHER ORES AND CONCENTRATES,2.18,83.51,-81.32,0.014
2850,"HYDRIDES, NITRIDES, AZIDES, SILICIDES AND BORIDES, WHETHER OR NOT CHEMICALLY        DEFINED, OTHER THAN COMPOUNDS WHICH",7.35,88.40,-81.05,0.014
1401,"VEG MATRLS USED PRIMARILY AS PLAITNG (E.G.BAMBOOS RATTANS REEDS RUSHES OSIER ETC    CLND BLCD/DYD CEREAL STRAW,AND LIME",0.93,80.68,-79.75,0.014
8419,"MCHNRY,PLNT/LABORATORY EQPMNT,W/N ELCTRCLYHEATD,FR HEATNG,COOKNG,ETC,EXCL MCHNRY FR DOMSTC PURPS;STORG WTR HEATRS,NON",1390.14,1468.72,-78.58,0.014
8535,"ELCTRCL APPRTS FR SWTCHNG/PROTCTNG ELCTRCLCIRCUITS ETC.(E.G. SWTCHS,FUSES,LIGHTNING ARRESTERS ETC)FR A VLTG EXCDG 1000 V",328.90,407.15,-78.25,0.014
7013,"GLSSWR FR TBL KTCHN,TOLT,OFFC INDOR       DCORTION (EXCL GOODS OF HDG NO 7010/7018)",55.87,133.94,-78.07,0.014
7604,"ALUMINIUM BARS, RODS AND PROFILES",119.73,196.71,-76.97,0.013
7608,ALUMINIUM TUBES AND PIPES,17.35,93.60,-76.24,0.013
7229,WIRE OF OTHER ALLOY STEEL,14.00,89.36,-75.36,0.013
0805,"CITRUS FRUIT, FRESH OR DRIED",28.07,102.60,-74.54,0.013
3209,PAINT VARNSHS (INCL ENML AND LACQR) BSD ON  SYNTHTC PLYMR/CHMCLY MDFD NATRL POLYMR    DSPRS/DSLVD IN AQUEOUS MEDIUM,17.54,91.78,-74.23,0.013
8510,"SHAVERS, HAIR CLIPPERS AND HAIR",6.96,80.85,-73.89,0.013
7212,FLT,24.85,98.48,-73.63,0.013
9013,"LASERS,OTHR THN LASER DIODES,OTHER OPTICAL APPLIANCES AND INSTRUMENTS,NOT SPECIFIED OR INCLUDED IN THIS CHAPTER",34.12,107.43,-73.31,0.013
8545,"CRBN ELCTRDS,CRBN BRSHS,LAMP CRBNS ETC.   OTHR ARTCLS OF GRAPHITE/OTHR CRBN,WTH/    WTHOUT MTL OF A KND USED FOR ELCTRCL",264.60,337.67,-73.08,0.013
8449,MCHNRY FR MNFCTR OF FINSHNG OF FELT OR    NON,0.80,73.35,-72.55,0.013
2826,"FLUORIDES; FLUOROSILICATES,               FLUOROALUMINATES AND OTHER COMPLEX        FLUORINE SALTS",24.20,96.50,-72.31,0.013
8436,"OTHR AGRCLTRL,HRTCLTRL,POLTRY/BEE",41.60,112.43,-70.83,0.012
3201,TANING EXTRCS OF VEGTBL ORGN TANIS AND THEIRSALT ETHRS ESTRS AND OTHR DERIVTS,6.81,77.29,-70.48,0.012
4015,"ARTCL OF APARL AND CLOTHING ACCESSORIES     (INCL. GLOVES, MITTENS AND MITTS) FOR ALL  PURPOSE OF VULCANISED RUBR NOT HA",75.15,143.84,-68.69,0.012
5504,"ARTIFICIAL STAPLE FIBRES, NOT CARDED,     COMBED OR OTHERWISE PROCESSED FOR",173.26,240.46,-67.20,0.012
2530,MINERAL SUBSTANCES NOT ELSEWHERE SPECIFIED OR INCLUDED,26.89,94.02,-67.14,0.012
2811,OTHER INORGANIC ACIDS AND OTHER INORGANIC OXYGEN COMPOUNDS OF NON,111.91,178.95,-67.04,0.012
8530,"OTHE PARTS OF HDG 8525 TO 8528            EQPMNT FR RLWYS, TRMWYS,ROADWYS,WTRWYS ETC(OTHR THAN THOSE OF HDG NOS.8608)",32.37,98.76,-66.39,0.012
2805,ALKALI OR ALKALINE,0.86,67.12,-66.27,0.012
8442,"MCHNRY,APPRTS AND EQPMNT(EXCL OF 8456       TO 8465),FR TYPE",17.99,83.38,-65.38,0.011
9504,"V/GAME  MACH, PARLOUR GAME AND PRTBL,BILLIARD, CASINO AND AUTO BOWLING , MACH BY COIN, B/ NOTE,CARD, TOKEN/ OTHR PMT MODE",46.75,111.91,-65.16,0.011
3816,REFRACTORY CEMENTS,76.38,138.56,-62.18,0.011
9804,DUTIABLE IMPORT BY POST OR AIR FOR PERSONA,1.55,63.35,-61.80,0.011
9402,"MEDCL,SURGCL,DENTAL/VETRNRY FURNITR ETC   BARBERS CHAIRS AND SMLR CHAIRS;PRTS OF     THE FOREGOING ARTICLES",21.68,83.14,-61.46,0.011
9025,"HYDROMETERS AND SMLR FLOATING INSTRUMENTS,  THERMOMETERS,PYROMETERS ETC,RCORDNG/NT AND  ANY CMBNTN OF THESE INSTRMNTS",73.32,134.08,-60.76,0.011
8438,"MCHNRY,N.E.S.,FR INDSTRL PRPTN/MNFCTR OF  FOOD/DRNK,EXCL MCHNRY FR EXTRCTN/PRPRTN OFANML/FXD VGTBL FATS/OILS",264.69,325.04,-60.35,0.011
7410,"COPPER FOIL(W/N PRINTD OR BACKD WTH PAPR, PAPRBORD,PLSTCS OR SMLR BACKING MATERLS)  OF A THICKNESS(EXCL BACKING)<=0.15 M",54.28,114.14,-59.87,0.010
4821,PAPR OR PAPRBORD LABELS W/N PRINTED,34.59,93.94,-59.35,0.010
8522,PRTS AND ACSSRS OF APPRTS OF HDGS NOS.      8519 TO 8521,0.29,59.46,-59.17,0.010
7612,"ALMNM CSKS,DRMS,CANS ETC(INCL CLPSBL TBLR CONTNRS)FR ANY MTRL(EXCL GAS),OF<=300L,W/ NW/N LIND BUT NT FTD WTH MHCHNCL/THR",73.40,131.70,-58.30,0.010
9701,"PNTG DRNG AND PASTEL BY HAND,EXCL DRNG OF HDG 4906 AND EXCL HNDPRNT/HND DCRT  MNFTD  ARTCL COLLAGE, MOSAIC AND SMLR DCOR",134.74,192.75,-58.00,0.010
2906,"CYCLIC ALCOHOLS AND THEIR HALOGENATED,    SULPHONATED, NITRATED OR NITROSATED       DERIVATIVES",265.53,321.72,-56.19,0.010
8485,"*MCHNRY PRTS,NT CONTNG ELCTRCL CONNCTRS,   INSULTRS,COILS,CONTCTS/OTHR ELCTRCL       FEATRS N.E.S.",2.24,58.37,-56.13,0.010
3804,RSDUL LYES FROM MNFCTR OF WOOD PULP,3.22,58.59,-55.37,0.010
7205,"GRNL AND PWDR,OF PIG IRON,SPGLSN,IRON/STEEL",35.33,90.42,-55.09,0.010
8603,SELF,1.31,56.20,-54.89,0.010
6806,"SLAG WOOL, ROCK WOOL AND SIMILAR MINERAL  WOOLS; EXFOLIATED VERMICULITE, EXPANDED   CLAYS, FOAMED SLAG AND SIMILAR EXPAN",36.57,90.52,-53.95,0.009
2102,YEASTS(ACTIV/INACTIV);OTHR SINGLE CELL    MICRO,4.51,57.56,-53.05,0.009
4809,"CRBN,SLF",0.63,53.46,-52.83,0.009
8423,"WEIGHING MACHINERY (EXCLUDING BALANCES OF A SENSITIVITY OF 5 CENTIGRAMS OR BETTER), INCLUDING WEIGHT OPERATED COUNTING O",55.43,107.66,-52.23,0.009
8420,"CALENDERING OR OTHER ROLLING MACHINES,    OTHER THAN FOR METALS OR GLASS, AND       CYLINDERS THEREFOR",18.91,71.01,-52.11,0.009
8526,"RADAR APPARATUS, RADIO NAVIGATIONAL AID   APPARATUS AND RADIO REMOTE CONTROL        APPARATUS",140.60,192.45,-51.85,0.009
9616,"SCENT SPRAYS AND SMLR TOILT SPRYS,AND MOUNTS ANDHEADS THEREFOR;PWDR",4.57,56.12,-51.55,0.009
9012,MICROSCOPES OTHER THAN OPTICAL            MICROSCOPES; DIFFRACTION APPARATUS,4.07,55.26,-51.19,0.009
5306,FLAX YARN,24.02,75.16,-51.14,0.009
0302,"FISH, FRESH OR CHILLED, EXCLUDING FISH FILLETS AND OTHER FISH MEAT OF HEADING 0304",45.54,95.07,-49.53,0.009
7507,"NICKEL TUBES, PIPES AND TUBE OR PIPE      FITTINGS (FOR EXAMPLE, COUPLINGS, ELBOWS, SLEEVES)",27.11,76.44,-49.32,0.009
8105,"COBLT MATTS AND OTHR INTRMDT PRDCTS OF COBLTMETTLRGY,COBLT AND ARTCLS INCL WSTE AND SCRP",63.51,112.10,-48.60,0.009
9607,SLIDE FASTENERS AND PARTS THEREOF,23.04,71.43,-48.39,0.008
3504,"PEPTONES AND THEIR DERIVATIVES; OTHER     PROTEIN SUBSTANCES AND THEIR DERIVATIVES, NOT ELSEWHERE SPECIFIED OR INCLUDED;",50.33,98.12,-47.80,0.008
8521,"VIDEO RECORDING OR REPRODUCING APPARATUS, WHETHER OR NOT INCORPORATING A VIDEO TUNER",3.20,50.83,-47.63,0.008
8475,"MCHNS FR ASSMBLNC ELCTRC/ELCTRNC LAMPS,   TUBES/VALVE/FLASH",147.70,195.16,-47.46,0.008
2612,URANIUM OR THORIUM ORES AND CONCENTRATES,0.00,47.17,-47.17,0.008
7302,"RLY AND TRMY TRACK CONSTRCTN MATRL OF IRON  OR STL,E.G.RALS,RACK RALS ETC SWTCH BLADS SLEEPRS,TIES AND OTHR MATRL FOR FI",47.54,93.70,-46.16,0.008
8425,PULLEY TACKLE AND HOISTS OTHER THAN SKIP  HOISTS;,91.12,137.14,-46.02,0.008
9612,"TYPEWRITER OR SIMILAR RIBBONS, INKED OR   OTHERWISE PREPARED FOR GIVING IMPRESSIONS, WHETHER OR NOT ON SPOOLS OR IN CART",5.02,50.66,-45.64,0.008
8609,CONTAINERS (INCLUDING CONTAINERS FOR THE  TRANSPORT OF FLUIDS) SPECIALLY DESIGNED   AND EQUIPPED FOR CARRIAGE BY ONE OR,134.32,179.55,-45.23,0.008
9606,"BUTN,PRS",27.97,73.10,-45.14,0.008
9802,LABORATORY CHEMICALS,4.71,48.44,-43.72,0.008
5307,YARN OF JUTE OR OF OTHER TEXTILE BAST     FIBRES OF HEADING 5303,17.50,60.92,-43.43,0.008
3809,"RODENTICIDES AND OTHER SIMILAR PREPARATIONPRPRTN,USD IN TXTL,PAPR AND SMLR INDSTRS,NES",75.20,118.15,-42.95,0.008
7324,"SANITARY WARE AND PARTS THEREOF, OF IRON  OR STEEL",18.54,61.36,-42.83,0.008
8102,"MOLYBDENUM AND ARTICLES THEREOF, INCLUDING WASTE AND SCRAP",13.13,53.30,-40.17,0.007
4105,TANED/CRUST SKIN OF SHEEP OR LAMB WITHOUT WOOL WHETHER OR NOT SPLIT BUT NOT         FURTHER PREPARD.,0.20,40.14,-39.93,0.007
2504,NATURAL GRAPHITE,2.78,42.51,-39.73,0.007
5907,"TXTL FBRCS OTHRWSE IMPRGNTD,COATED/CVRD;  PAINTED CANVAS BEING THEATRICAL SCENERY,  STUDIO BACK",6.55,46.04,-39.49,0.007
6809,ARTCLS OF PLASTER OR OF ITS COMPOSITIONS,12.48,51.75,-39.27,0.007
